0           area  cluster cluster_name                                   keyword  count                     x                    y    color
0          ar\vr        0    Кластер 0                 written conflict fabulous   1443     2.991167386692041    7.106798807182176  #98df8a
1          ar\vr        0    Кластер 0                      reservations linking    751    10.195602423153172   12.259495712252914  #98df8a
2          ar\vr        0    Кластер 0                        interfaces neutral    586    10.443533250200693   13.809914970161072  #98df8a
3          ar\vr        0    Кластер 0                       committees parallel    173     6.735259814980754    3.613982972088637  #98df8a
4          ar\vr        1    Кластер 1        postcards looked republic detector   1397    10.474474222223218    6.220011967033064  #ffbb78
5          ar\vr        1    Кластер 1                           michael tobacco   1007      6.21087987032822   12.721263957780877  #ffbb78
6          ar\vr        1    Кластер 1              filling volunteers academics    773    10.833919958277239    8.652736658281233  #ffbb78
7          ar\vr        1    Кластер 1                         celtic automation    715    12.197275202219135    4.723751417014398  #ffbb78
8          ar\vr        2    Кластер 2                  enquiries implementation   1249    3.5807179798861632    8.089951461567338  #aec7e8
9          ar\vr        2    Кластер 2    previously standing languages commands    889    14.668088782019147    8.467136440992878  #aec7e8
10         ar\vr        2    Кластер 2                bangkok mining fascinating    682     5.084247153929448   13.480030560991166  #aec7e8
11         ar\vr        3    Кластер 3                     announces independent   1669    0.3819861215457754    7.675411781516552  #9edae5
12         ar\vr        3    Кластер 3                          reload athletics   1189     6.020944311198539    4.355278024864925  #9edae5
13         ar\vr        3    Кластер 3                          several animated    260    11.451222272176462    6.641685483781745  #9edae5
14     available        0    Кластер 0                         containers raises   1901    11.553724046234848   14.838972733370907  #c7c7c7
15     available        0    Кластер 0                            engage gazette   1694    13.577055720514517    14.56834807581583  #c7c7c7
16     available        0    Кластер 0                  michael tobacco oriented   1433    2.5345406683668465    7.201312159374234  #c7c7c7
17     available        0    Кластер 0                            mobiles sensor    426     14.91661915530759    5.807535729499952  #c7c7c7
18     available        1    Кластер 1                          signed reception   1793     9.560871377586924    6.234035288942436  #f7b6d2
19     available        1    Кластер 1                  collectables departments   1247    11.166086848701768   12.985122559024818  #f7b6d2
20     available        1    Кластер 1                  correctly washing trauma    910    0.8546094748233873   2.8545670858213916  #f7b6d2
21     available        1    Кластер 1                        minerals reception    907     5.198257488228374   14.817618017689076  #f7b6d2
22     available        2    Кластер 2                       copyright crossword   1404     3.542366816013352    10.48899638751125  #c49c94
23     available        2    Кластер 2  announces independent coaching travelers   1041     8.701704539276447   12.305153970991967  #c49c94
24     available        2    Кластер 2     optimal artificial orders complicated   1037    13.203286304999212   14.374205517890555  #c49c94
25     available        2    Кластер 2                        disposition layout    454    0.9908708935514388    6.513206893783746  #c49c94
26     available        3    Кластер 3                         logging suggested   1749    13.843937050502952    9.688188173044628  #c5b0d5
27     available        3    Кластер 3                   offset cnetcom applying    649     9.557026726459263   3.4572979889185995  #c5b0d5
28     available        3    Кластер 3                 exports closing supported    401    11.399484980573028    4.206470020157055  #c5b0d5
29    capability        0    Кластер 0                   amended mailed analyzed   1184    3.3625394484922424    7.862178589057771  #dbdb8d
30    capability        0    Кластер 0                             tunnel lyrics   1013    14.182495753536584   11.241094130877395  #dbdb8d
31    capability        0    Кластер 0                     bouquet beyond indian    203     9.681401994089917    4.886067287286476  #dbdb8d
32    capability        0    Кластер 0                          postcards looked    114     8.760002088812167    5.090565770201748  #dbdb8d
33    capability        1    Кластер 1                         filter substances   1532    2.4327938686529222    4.840058228742469  #c7c7c7
34    capability        1    Кластер 1                        interfaces neutral   1047   0.13410749601137917   12.515576283697598  #c7c7c7
35    capability        1    Кластер 1                         finishing vanilla    683     1.024451205622567   7.3790401213355254  #c7c7c7
36    capability        1    Кластер 1                          thomson veterans    563    2.4456493169339977    6.577019046472794  #c7c7c7
37    capability        2    Кластер 2                    transmitted australian   1986     5.655112351423575    5.853697603739591  #f7b6d2
38    capability        2    Кластер 2                      massage sufficiently   1703     5.894114141694302    7.635234264470194  #f7b6d2
39    capability        2    Кластер 2                     approximately defense    813    14.277759390954461   0.3976214750666285  #f7b6d2
40    capability        2    Кластер 2          minerals precipitation voyeurweb    763    10.401335785389543    12.11758463166844  #f7b6d2
41    capability        3    Кластер 3                        education evidence   1949    12.353595633490999   0.7269788262356514  #c49c94
42    capability        3    Кластер 3                          mortality decide   1928    12.261041729159382   4.0716830744657715  #c49c94
43    capability        3    Кластер 3                         batteries nipples    411     7.501518596438325    8.184505216288963  #c49c94
44        dialog        0    Кластер 0                   overcome delight office   1628    10.949312475456034   1.2492693330331217  #c7c7c7
